"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"APOE",1.03274957788558e-130,1.58046159704875,1,0.963,3.47974642772768e-126
"CLDN6",8.32376748041362e-123,1.53217592044621,0.993,0.637,2.80461021485056e-118
"HSP90AA1",6.51216498557777e-120,1.45090005277106,1,0.988,2.19420887024057e-115
"CD9",4.36195101452917e-112,1.145013390457,0.846,0.294,1.46971577483546e-107
"HSP90B1",5.09213731328423e-103,1.32994599541184,0.982,0.645,1.71574474633799e-98
"EPCAM",6.4953218721517e-102,1.31046145248797,0.893,0.397,2.18853375160279e-97
"PRDX1",4.66143761316906e-101,1.13266914239552,0.993,0.97,1.57062478938118e-96
"SLC7A3",5.52411970281323e-101,0.584594477649149,0.555,0.113,1.86129689266589e-96
"L1TD1",2.05654982891824e-95,1.33939970029598,0.952,0.549,6.92933899355712e-91
"PDIA3",3.64832527986237e-93,1.12550544736493,0.96,0.611,1.22926671979683e-88
"SMPDL3B",3.36806935284178e-91,0.535748713673031,0.518,0.11,1.13483728774651e-86
"HSP90AB1",1.46172384620436e-90,0.990829089781365,1,0.992,4.92513232740098e-86
"NASP",2.21501077204209e-90,1.18687744107112,0.974,0.743,7.46325729531861e-86
"HSPD1",9.29195800543859e-90,1.01827169784923,0.982,0.913,3.13083233035248e-85
"SSB",1.71947013556853e-86,1.08740200133835,0.96,0.749,5.79358267478462e-82
"HSPA5",1.04048231079819e-85,1.17637990797392,0.915,0.538,3.50580109800342e-81
"TARS",7.95969078913779e-85,0.789274420195889,0.805,0.306,2.68193821449209e-80
"ACTB",2.6226011685544e-83,0.699492552069922,1,1,8.8365923773272e-79
"CLDN7",4.60003531936369e-82,0.888707043710901,0.846,0.333,1.5499359005064e-77
"TALDO1",3.29652497074709e-81,1.02815269631279,0.923,0.692,1.11073112364352e-76
"CCT5",1.02740506612074e-80,1.00316013687008,0.956,0.705,3.46173862978722e-76
"PHGDH",4.61748564047784e-79,0.977695981736464,0.978,0.749,1.5558156117026e-74
"ATP5B",9.32301497243759e-79,0.921764856114592,0.982,0.918,3.14129666481312e-74
"KRT18",2.21210461029691e-78,1.06635178454702,0.985,0.77,7.45346527393441e-74
"ENO1",3.52040753595289e-78,0.853289586408287,1,0.988,1.18616611516397e-73
"HNRNPA3",4.21386664728464e-78,0.859825472421696,0.985,0.842,1.41982022813609e-73
"CTSC",2.10043893345016e-77,0.893546605051327,0.831,0.366,7.07721894236698e-73
"UGP2",7.85902836866516e-77,1.13973518137249,0.934,0.585,2.64802101853804e-72
"DNMT3B",1.28968170569705e-76,0.982537696878082,0.886,0.405,4.34545353917565e-72
"TERF1",4.26297885052951e-74,1.19150784341306,0.952,0.633,1.43636809389741e-69
"COX6A1",6.9261867379464e-73,0.794784172514704,1,0.963,2.33370935948366e-68
"TUBB4B",1.82044454435715e-72,0.932586792237315,0.956,0.643,6.13380584775699e-68
"PODXL",3.42152961148083e-72,0.97894649459888,0.812,0.328,1.15285018729235e-67
"POU5F1",4.14017702827143e-72,1.15217735539914,0.952,0.577,1.39499124790577e-67
"PA2G4",7.5256305024253e-72,0.906790791069565,0.941,0.698,2.53568594148718e-67
"LECT1",6.43911654464888e-71,0.816407735784031,0.607,0.192,2.16959592855399e-66
"PSMB1",6.08372257966365e-70,0.789927966707761,0.989,0.944,2.04984948599187e-65
"CD63",1.24127658787346e-69,0.777207644066433,0.996,0.96,4.18235733518083e-65
"C1QBP",6.45251989267323e-69,0.851069967629588,0.967,0.849,2.17411205263732e-64
"IFITM1",2.61819789004829e-68,1.03511173182895,0.82,0.399,8.8217559707287e-64
"PLTP",1.26191785512386e-67,0.792124269747851,0.761,0.304,4.25190602105435e-63
"RARRES2",2.66044296160729e-67,0.971822452239552,0.842,0.389,8.9640965148396e-63
"RP11-148B6.1",7.41397056067372e-67,1.06751688766612,0.982,0.601,2.4980632407134e-62
"TKT",1.50572590559817e-66,0.773280057379082,0.985,0.841,5.07339286632249e-62
"FABP5",2.71119334215977e-66,1.24324440869451,0.956,0.787,9.13509484707311e-62
"EZR",8.1844079513299e-66,0.942098179012741,0.875,0.464,2.7576544151211e-61
"PDPN",1.21323215555333e-65,0.853698967770746,0.787,0.354,4.08786442492139e-61
"CALR",1.75164734035166e-63,0.858228219290567,0.96,0.719,5.90200054858089e-59
"XRCC6",1.76886676111796e-63,0.883148208737358,0.96,0.781,5.96001966491087e-59
"SSBP1",2.58604802490607e-63,0.830726307286877,0.956,0.848,8.71343021511852e-59
"FAM46B",3.53966392576838e-62,0.594493885491789,0.625,0.21,1.1926543631484e-57
"AASS",3.91958031914179e-62,0.653785763676234,0.577,0.18,1.32066339273163e-57
"CKB",9.73633704083459e-62,0.780184296421077,0.985,0.862,3.28056140253881e-57
"NOP58",1.02303965424087e-61,0.689346859681961,0.75,0.319,3.44702981099918e-57
"CCT7",1.68755722633579e-61,0.78851606240493,0.934,0.691,5.68605531841581e-57
"HNRNPA2B1",2.89744306807346e-61,0.676175542245768,1,0.938,9.76264467356673e-57
