"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TAC1",0,1.58030731412456,0.5,0.011,0
"GDF15",0,2.6749695625097,0.756,0.05,0
"DDIT3",1.24378864191948e-271,2.4003457057513,0.87,0.127,4.19082145008348e-267
"TRIB3",3.62593482924702e-266,0.861647827153992,0.463,0.024,1.22172248136649e-261
"CD70",2.66425117090874e-213,1.21450104975668,0.48,0.036,8.97692789525991e-209
"C10orf10",2.38607246110041e-208,0.770687334700628,0.386,0.022,8.03963255043171e-204
"SGCG",7.38096681765248e-200,0.409127943544933,0.305,0.012,2.48694295953983e-195
"CDKN1A",8.87955607865334e-181,1.57970476829272,0.724,0.117,2.99187762514146e-176
"CEBPB",3.78929151103292e-177,1.40565983973857,0.854,0.188,1.27676388172743e-172
"ATF3",1.03362051402679e-147,1.3136499058005,0.524,0.069,3.48268095996188e-143
"PLAU",6.15610292518346e-141,1.01120925473663,0.463,0.055,2.07423731961131e-136
"STC2",3.43842891747353e-134,1.22197515015162,0.728,0.167,1.15854423945353e-129
"BBC3",6.0731812783624e-130,1.67249995421054,0.878,0.289,2.04629769993143e-125
"PHLDA3",7.22238267851403e-128,1.22705040686836,0.756,0.184,2.43350961969852e-123
"HRK",2.7856389262041e-118,0.661143844080851,0.545,0.092,9.3859317979521e-114
"ATF5",5.42206310954969e-111,0.967229727724296,0.549,0.104,1.82690994413167e-106
"SNHG12",5.71090390436544e-111,0.799034222587445,0.496,0.082,1.92423196153689e-106
"PMAIP1",7.31498364922822e-108,1.58278937164081,0.801,0.258,2.46471059077096e-103
"NEFL",2.32791877495935e-107,0.62310935644288,0.447,0.066,7.84368952034805e-103
"SQSTM1",5.73265884439702e-106,1.94680672605608,0.89,0.391,1.93156207103113e-101
"APOE",1.57360529044547e-105,1.78557882086754,1,0.963,5.30210566562697e-101
"MAL2",1.0523054382721e-104,1.14778250749509,0.703,0.198,3.54563794371403e-100
"TRIML2",1.36451232074804e-103,0.965373484369476,0.451,0.072,4.59758781352844e-99
"NEAT1",2.29688702619672e-103,2.33968471446995,0.931,0.507,7.73913114606721e-99
"FOSL1",1.41091065983427e-102,0.369230324465761,0.285,0.026,4.75392237724558e-98
"BBS9",4.09356393516558e-102,1.07172303624422,0.52,0.101,1.37928543231469e-97
"PLPP1",6.49938273129859e-102,1.41287102212716,0.768,0.257,2.18990201748375e-97
"SLC3A2",8.51037715653072e-100,1.59996013118995,0.943,0.516,2.86748647912146e-95
"C9orf135",3.73778226285855e-99,0.972618847044685,0.472,0.084,1.25940835564756e-94
"SESN2",1.47536653195698e-97,0.590869284628972,0.467,0.079,4.97109999277585e-93
"SPSB2",8.65239068794641e-93,0.818959511896952,0.589,0.138,2.91533651839666e-88
"UNC5B-AS1",4.02449989868317e-92,0.37830633217731,0.26,0.025,1.35601499586231e-87
"FTL",9.96202954799635e-92,1.30555351566577,1,1,3.35660623590189e-87
"LINC01405",7.87698546753374e-90,1.45584308893499,0.776,0.28,2.65407148343082e-85
"EIF1",1.34019207645037e-88,1.20001715070016,1,0.993,4.51564318239186e-84
"SPP1",2.93172351975432e-88,1.29140252436242,0.467,0.089,9.87814922746022e-84
"PLA2G16",1.49591372751813e-87,1.59327292021932,0.935,0.577,5.0403317134996e-83
"TCEA1",2.23373032811003e-84,1.5761400396483,0.947,0.721,7.52633096753394e-80
"AEN",5.38887105388531e-84,0.99316038029275,0.752,0.262,1.81572621289612e-79
"LYPD1",2.91472275850054e-83,0.472957970325394,0.366,0.055,9.82086686249172e-79
"CHAC1",3.67497621343234e-83,0.428438062971479,0.333,0.046,1.23824648535389e-78
"LMNA",5.29805670019395e-83,1.05771756544665,0.748,0.261,1.78512722456335e-78
"EPCAM",7.10314238425923e-83,1.47656107187829,0.866,0.4,2.3933327949523e-78
"ANXA2",1.5708489405344e-82,1.53231706657674,0.858,0.39,5.29281842023662e-78
"WARS",1.64864858769902e-82,0.793091180614375,0.659,0.197,5.55495655139308e-78
"DDIT4",2.64502082482432e-82,2.21851483335552,0.943,0.638,8.91213316716305e-78
"PROCR",1.98503192472238e-81,0.908532637538579,0.561,0.143,6.68836656715959e-77
"S100A10",1.45332852813984e-80,1.28027068585263,0.801,0.301,4.89684514271438e-76
"MTHFD2",1.52388394777201e-79,1.18509620551482,0.825,0.375,5.134574573623e-75
"UBC",2.06673963061512e-79,1.49921092665977,0.984,0.875,6.96367251139459e-75
"NFKB2",8.93828047468212e-79,0.42680466524955,0.305,0.041,3.01166422313939e-74
"GADD45A",6.49485320976762e-78,1.1212070750534,0.63,0.184,2.1883758404991e-73
"CNIH4",2.16068602474849e-75,1.37472369957982,0.927,0.714,7.28021549178756e-71
"PDLIM1",4.46966411541734e-75,1.47559114256763,0.931,0.498,1.50600862704872e-70
"PPP1R15A",2.0510152791158e-74,0.721397784236801,0.524,0.127,6.91069088145278e-70
"FXYD3",3.02850686735778e-74,0.807606655762324,0.398,0.076,1.02042510388753e-69
"BIK",4.41407813982365e-72,0.696430637971643,0.451,0.098,1.48727948843218e-67
"C6orf48",4.76793984521226e-72,1.24568848702787,0.963,0.895,1.60650965144582e-67
"CLDN7",1.45266284682356e-71,1.06227912193762,0.789,0.338,4.8946021960873e-67
"HERPUD1",4.77545014976468e-71,0.909450631118305,0.598,0.173,1.60904017346171e-66
"FOXH1",7.67015758689691e-70,1.0794191065387,0.768,0.318,2.58438289732904e-65
"GADD45G",1.13682693797742e-69,0.625086318996778,0.309,0.047,3.8304246848211e-65
"GARS",4.22039552001239e-69,1.07245006239158,0.785,0.348,1.42202006651298e-64
"CAMTA2",8.25997958964691e-69,0.379047243630098,0.268,0.036,2.78311752293563e-64
"ZFAS1",5.29433449018792e-68,1.08818622504655,1,0.987,1.78387306312392e-63
"SMIM10L2A",6.46312972313338e-68,0.654645865296299,0.512,0.131,2.17768692891256e-63
"WIPI1",1.24562352501798e-67,0.519615112965683,0.386,0.076,4.19700390519557e-63
"SARS",2.49109026656561e-67,1.1628679467722,0.846,0.465,8.39347954416615e-63
"FTH1",1.35496876188285e-66,1.08052666320812,1,1,4.56543174628807e-62
"RPS27L",3.03612532055049e-65,1.11282161852483,0.992,0.88,1.02299206550628e-60
"IFITM1",5.75014586618679e-60,1.11155186483261,0.813,0.401,1.93745414815298e-55
"CLDN9",5.94468868003317e-60,0.438771853694231,0.301,0.052,2.00300340385038e-55
"FGF2",7.10138605209096e-60,0.58921243692966,0.553,0.164,2.39274101639153e-55
"HSPA9",2.90607510106227e-59,0.993947204636511,0.87,0.511,9.79172944551922e-55
"MCOLN3",3.71150741319979e-59,0.326947426943085,0.337,0.063,1.25055530780354e-54
"ZNF296",4.65546025243943e-59,0.613895908715771,0.451,0.114,1.56861077745694e-54
"UPP1",6.85052669669275e-59,1.50852410178023,0.821,0.452,2.30821646518365e-54
"LGALS3",9.74512206202493e-59,0.594337597083118,0.382,0.083,3.28352142757868e-54
"APOBEC3C",1.77472120379164e-58,0.53680077510737,0.488,0.132,5.97974562405556e-54
"DRAM1",3.23289146873569e-58,0.305318035638961,0.289,0.048,1.0892904514758e-53
"ASNS",1.26832252677595e-57,0.662775102034112,0.577,0.184,4.27348592171889e-53
"HMOX1",1.44178089601407e-56,0.599261023848011,0.285,0.049,4.85793655102979e-52
"ELF3",1.91664816562769e-56,0.822279798245226,0.549,0.172,6.45795432926595e-52
"PCK2",4.43280384114355e-56,0.405988449519171,0.411,0.096,1.49358892623491e-51
"BTG3",1.72890670093496e-55,0.805017165390011,0.593,0.2,5.82537823813026e-51
"S100A11",1.94305825485017e-55,1.24834327408038,0.752,0.352,6.54694048389216e-51
"ARMT1",1.93708711566089e-54,0.821435007705208,0.618,0.234,6.5268213275078e-50
"RGS16",3.48266529064637e-54,0.817198691289712,0.476,0.137,1.17344924303039e-49
"CEBPG",6.86840261354989e-54,0.722719162074245,0.728,0.32,2.3142395766095e-49
