"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DLK1",1.79593160983531e-122,0.989288821186544,0.996,0.866,6.05121196617908e-118
"TUBA1B",2.94922650909435e-116,0.75876236164886,1,0.993,9.93712379974251e-112
"TMSB15A",1.9921313896226e-109,0.813633919554031,0.93,0.663,6.71228750419439e-105
"CENPV",3.74505017176498e-95,0.683275280549072,0.961,0.815,1.26185720487449e-90
"TUBA1A",3.52644623780247e-87,0.686211884578061,0.972,0.895,1.18820079536516e-82
"METRN",1.06261885335795e-86,0.682751689341003,0.912,0.683,3.58038796450429e-82
"CSRP2",5.1475328545727e-82,0.671969470847937,0.927,0.792,1.73440972001973e-77
"PRSS23",1.10618798263147e-79,0.671944845215197,0.848,0.5,3.72718978867849e-75
"PTN",1.36710252029386e-78,0.827818497203221,0.788,0.523,4.60631523187814e-74
"H2AFY",6.5473468713359e-77,0.668996209106023,0.753,0.488,2.20606305482792e-72
"H2AFZ",6.18659917979518e-74,0.449824246535957,1,0.996,2.08451272764019e-69
"PRDX2",3.01912147969809e-73,0.498262831348278,0.992,0.954,1.01726279136947e-68
"VIM",1.12289280906882e-71,0.585841009316006,0.96,0.707,3.78347503087647e-67
"RPL6",7.49686059943113e-68,0.285717511680407,1,1,2.52599221037233e-63
"MDK",1.62998270875271e-67,0.370078800118468,1,0.998,5.49206373887137e-63
"NNAT",3.24866963011072e-67,0.668114216182484,0.831,0.583,1.0946067451695e-62
"ATP5E",2.78601844688329e-65,0.444442812661649,0.989,0.964,9.38721055492855e-61
"MARCKSL1",5.5537229916715e-63,0.398283004739532,1,0.988,1.87127142481379e-58
"IDH2",3.92143676557746e-58,0.573470679602252,0.734,0.508,1.32128890379367e-53
"FABP7",3.34081051576893e-57,0.599655581554257,0.598,0.334,1.12565269518318e-52
"HNRNPA1",8.43053464779661e-56,0.274424355274702,1,1,2.84058434422859e-51
"ATP5G2",8.69983481221714e-56,0.318470023794622,1,0.995,2.93132234162844e-51
"SFRP2",2.94001004892221e-50,0.587626069372614,0.875,0.749,9.90606985883848e-46
"GPC3",8.0048637961334e-49,0.52440604652412,0.778,0.568,2.69715880746919e-44
"CRABP1",1.63931441651569e-46,0.482271579848396,0.971,0.922,5.52350599500797e-42
"TUBB",2.14209992616889e-45,0.27952376201841,1,0.999,7.21759149123344e-41
"KIAA0101",5.84955744554432e-45,0.608605795915105,0.707,0.552,1.9709498857017e-40
"TPBG",7.98206806500829e-45,0.525216674810805,0.701,0.489,2.68947801382389e-40
"COL2A1",7.47030412914423e-43,0.448132173119004,0.654,0.379,2.51704427327386e-38
"PTMS",3.43265712155524e-42,0.403550441753649,0.985,0.951,1.15659949053682e-37
"NAP1L1",1.36977861734451e-41,0.296303466314749,0.996,0.993,4.61533207328058e-37
"STMN1",3.46254831954199e-41,0.3534184526453,0.996,0.984,1.16667103078648e-36
"H2AFY2",9.5304463287784e-40,0.451183303033033,0.652,0.455,3.21118858601859e-35
"LHX2",1.98098608266535e-36,0.402785866254895,0.541,0.315,6.67473450693263e-32
"GINS2",2.98364831638551e-35,0.486313940764434,0.682,0.542,1.00531046372293e-30
"CUTA",5.60291981736542e-34,0.330804781061703,0.964,0.945,1.8878478032631e-29
"EIF3E",4.79367102430442e-33,0.284651224484352,0.989,0.976,1.61517951492913e-28
"SOX3",6.09121172460526e-33,0.39388477230237,0.532,0.333,2.0523728784885e-28
"IGFBP5",1.49738873496722e-32,0.449280689768342,0.667,0.446,5.04530160359856e-28
"FRZB",1.62150805965904e-32,0.435177662793413,0.7,0.511,5.46350925621517e-28
"RAX",1.69083265311712e-32,0.43700305068736,0.493,0.3,5.69709154141283e-28
"MEST",5.69513190886832e-32,0.314896914141678,0.966,0.927,1.91891774537409e-27
"CFL1",7.07766937587688e-32,0.260670661261771,1,0.994,2.38474991950796e-27
"FXYD6",9.62934796157298e-32,0.398798107348735,0.756,0.647,3.2445125021724e-27
"TYMS",1.89189776270707e-31,0.497959956086471,0.594,0.469,6.37456032166521e-27
"ZBTB16",3.19537973557583e-31,0.308225063076532,0.307,0.145,1.07665124810492e-26
"LSM4",3.20884481846603e-31,0.31182645573253,0.971,0.947,1.08118817313394e-26
"SIX6",4.29643840714255e-31,0.361473261559265,0.452,0.255,1.44764195690261e-26
"C4orf48",9.34345618205645e-31,0.399782242255706,0.792,0.7,3.1481841259821e-26
"PAX6",1.6203328813362e-30,0.347517790296131,0.585,0.368,5.45954961037418e-26
"PFN2",2.84800303088429e-30,0.370492918536509,0.871,0.828,9.59606141226152e-26
"CST3",2.07558958228554e-29,0.422110882073957,0.685,0.55,6.9934915385529e-25
"H1FX",2.79576995829667e-29,0.412827831600032,0.817,0.743,9.4200672974848e-25
"HMGN2",4.02698828592527e-29,0.30579117282889,0.993,0.986,1.35685343305966e-24
"MRPS6",4.59255389006241e-29,0.35935980508457,0.864,0.786,1.54741510771763e-24
"TMEM98",1.01141231463252e-28,0.357865130690997,0.656,0.519,3.40785265292282e-24
"FAM213A",1.06139394547942e-28,0.404234198706684,0.711,0.602,3.57626075989836e-24
"TTYH1",1.4062572590501e-28,0.369293763949885,0.713,0.561,4.7382432086434e-24
