"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FOXD3-AS1",0,0.737253436868705,0.585,0.073,0
"TDGF1",0,1.50537589573243,0.908,0.198,0
"POU5F1",0,1.72677712017795,0.993,0.516,0
"CD24",0,1.3984377803014,0.999,0.936,0
"RP11-568A7.4",0,1.50530356069786,0.933,0.264,0
"PODXL",0,1.10439442671264,0.889,0.245,0
"RARRES2",0,1.11767773218118,0.905,0.313,0
"RP11-1144P22.1",0,1.19236144135953,0.892,0.192,0
"TERF1",0,1.75459360029561,0.979,0.583,0
"FOXH1",0,0.789154565313163,0.83,0.241,0
"LINC00678",0,0.862896344962251,0.653,0.101,0
"PLA2G16",0,1.1955024149403,0.977,0.517,0
"GAL",0,0.987992157705586,0.808,0.254,0
"UTF1",0,1.16230992050763,0.849,0.214,0
"PMAIP1",0,0.83761734755726,0.759,0.187,0
"DNMT3B",0,0.996339332345838,0.897,0.335,0
"NMRK2",0,1.13773442057321,0.887,0.275,0
"TMSB4X",3.58665268367621e-304,0.911813216609137,1,1,1.20848675523786e-299
"JARID2",4.05651224326914e-296,1.02015856608384,0.92,0.406,1.36680123524711e-291
"RP11-148B6.1",1.32887405047183e-285,1.20023673531713,0.992,0.545,4.47750822565978e-281
"RABGAP1L",3.53027192759816e-285,0.684635783466161,0.714,0.181,1.18948982328493e-280
"SCGB3A2",5.98773140927047e-276,1.03233167036987,0.889,0.341,2.01750622103959e-271
"FRAT2",9.76623099732041e-274,0.77912462463604,0.815,0.26,3.29063387223714e-269
"PIM2",1.67682349004239e-268,0.792170253030449,0.799,0.257,5.64988906734884e-264
"APELA",4.99302647535444e-263,0.604661302262545,0.54,0.105,1.68235034060593e-258
"L1TD1",1.00788371192936e-255,0.934584626156914,0.96,0.491,3.3959633789748e-251
"DPPA4",3.97812980202457e-255,0.886731730460843,0.927,0.448,1.34039105549416e-250
"PFN1",5.37570443187839e-254,0.664502052979468,1,0.994,1.8112898512771e-249
"NANOG",1.04443407084287e-249,0.427752522448885,0.462,0.075,3.51911615829795e-245
"VRTN",1.67817578777781e-245,0.556483964076995,0.628,0.157,5.65444549933855e-241
"LECT1",5.51546243880345e-245,0.590356423083187,0.595,0.136,1.85837991413044e-240
"IFITM1",5.92659077937899e-245,0.822326158382636,0.868,0.33,1.99690549720396e-240
"SNRPN",1.15611607547117e-237,0.841597668441387,0.994,0.878,3.89541750469255e-233
"RBPMS2",3.51244360985191e-235,0.708572179696921,0.859,0.332,1.1834827499035e-230
"LINC01405",2.12639764329851e-229,0.67355600262447,0.721,0.218,7.16468421932999e-225
"PDPN",1.13738542241508e-228,0.704197163232662,0.801,0.291,3.83230644228537e-224
"TOMM7",1.0021087812931e-227,0.674294825691971,0.998,0.961,3.37650532768898e-223
"ATP5G1",2.66654477088662e-226,0.8122965099673,0.987,0.784,8.98465595102538e-222
"TIMM13",2.0310184710851e-225,0.726787353179748,0.998,0.918,6.84331363647414e-221
"CARHSP1",3.29361341095831e-225,0.784778002110691,0.998,0.843,1.10975010268829e-220
"SLIRP",3.69007697216907e-222,0.78275327895503,0.997,0.923,1.24333453500265e-217
"PTMA",2.44715704350815e-219,0.610536271885719,1,1,8.24545094239635e-215
"UGP2",3.29285148694921e-219,0.835647061763313,0.941,0.535,1.10949338001267e-214
"CYCS",3.02134650926445e-218,0.822376775391597,0.981,0.777,1.01801249283156e-213
"GSTP1",1.84501660713762e-217,0.706239811733862,1,0.997,6.21659895608951e-213
"USP9X",7.51078999631597e-217,0.848103489861656,0.888,0.441,2.5306855813587e-212
"FABP5",1.43945847590469e-216,1.07609498415516,0.974,0.759,4.85011138871327e-212
"ZSCAN10",9.05929596887747e-215,0.51849630626638,0.655,0.188,3.05243918375358e-210
"FAM46B",3.77845945588783e-213,0.477604286864904,0.6,0.156,1.27311412906685e-208
"OAZ1",8.33621135375538e-213,0.596757789024914,0.999,0.981,2.80880305353434e-208
"DDT",2.9169830445772e-209,0.749806477639553,0.99,0.749,9.82848267039842e-205
"CD9",2.31395497819018e-206,0.595387988268816,0.731,0.237,7.79663990351398e-202
"PRELID1",1.49894910678134e-205,0.685533724346189,0.995,0.903,5.05055912038905e-201
"IFITM3",7.50731925760143e-204,0.936230536991154,0.991,0.811,2.52951615065623e-199
