"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COL2A1",1.24888278956539e-102,0.804014808216633,0.904,0.374,4.20798567116164e-98
"RPL13",1.40468624569551e-99,0.282064986438797,1,1,4.73294983624644e-95
"RPS28",1.77322387418667e-93,0.314357204927946,1,1,5.97470052168456e-89
"RPL32",9.64208623567739e-91,0.281667677176574,1,1,3.24880453624914e-86
"RPL18",3.75974203679499e-90,0.317336255370819,1,1,1.2668074818777e-85
"RPL5",1.2034473037503e-85,0.388931645580306,1,1,4.05489534525626e-81
"RPS8",1.74364598207787e-85,0.29318513200839,1,1,5.87504077201318e-81
"METRN",1.4917324862727e-84,0.763665814336015,0.984,0.688,5.02624343924723e-80
"RPS15A",4.57476680799955e-79,0.26238213087526,1,1,1.54142192828737e-74
"RPL7A",2.30895338894735e-77,0.286296559444629,1,1,7.77978754871919e-73
"RPL39",1.1550891093276e-76,0.28206907845728,1,1,3.89195724496842e-72
"RPS27",3.66353123986413e-76,0.283771818190716,1,1,1.23439021595982e-71
"RPS7",7.64821879405797e-75,0.264215018192723,1,1,2.57699084046989e-70
"RPS12",2.41989371886845e-74,0.254022448063357,1,1,8.15358989635537e-70
"RPS20",4.71766648756548e-73,0.262029957796185,1,1,1.58957054632031e-68
"ZNF436-AS1",6.02248981830484e-70,0.530484872365893,0.835,0.371,2.02921771937963e-65
"RPS16",4.53371103230419e-69,0.251061444726567,1,1,1.52758859522458e-64
"NR2F1",5.60251594601271e-68,0.363631179182295,0.543,0.168,1.88771172284952e-63
"RPL6",2.42671832834529e-66,0.344095200572594,1,1,8.17658473552661e-62
"SEMA5A",9.68586697951069e-66,0.32417568732445,0.49,0.148,3.26355602007633e-61
"RPS11",3.46619334252409e-65,0.272883794315141,1,1,1.16789918483007e-60
"RPS3A",1.45952965534095e-63,0.25461517811521,1,1,4.91773922070579e-59
"COMMD6",9.66870673545093e-63,0.470821183092974,1,0.96,3.25777404744284e-58
"LHX2",2.28302464924613e-62,0.431219512693926,0.759,0.309,7.69242325316991e-58
"RPL23",2.17971617543678e-61,0.274641576517277,1,1,7.3443356815167e-57
"PAX6",7.39391088162132e-61,0.450093761266205,0.829,0.36,2.49130433245349e-56
"TPT1",7.14831675073038e-60,0.310925180523241,1,1,2.40855384599109e-55
"RPL30",7.3879220485305e-60,0.255466986685432,1,1,2.48928645503187e-55
"IGFBP5",1.30365181029319e-59,0.533870973100532,0.864,0.442,4.39252440960189e-55
"DCT",2.16147234083103e-58,0.3024814719348,0.432,0.13,7.28286490519606e-54
"RPS25",8.60916278432209e-58,0.252167746062625,1,1,2.90077130854948e-53
"SIX3",3.43460107936073e-57,0.559390230999075,0.955,0.56,1.1572544876798e-52
"VIM",7.68324895258343e-56,0.58999468252688,0.993,0.716,2.58879390208346e-51
"RP11-89K21.1",6.33187665425178e-55,0.394679791326602,0.731,0.312,2.1334625198836e-50
"NACA",7.55031760041657e-55,0.260625770908407,1,1,2.54400401228436e-50
"NAP1L1",6.4426844323432e-54,0.388866756323207,1,0.992,2.17079809263372e-49
"ARL4C",1.53035343662332e-53,0.506324812568679,0.831,0.463,5.15637286935862e-49
"EFNA5",2.93163248974688e-53,0.533159792584043,0.829,0.446,9.87784251095314e-49
"ZNF503",5.04425451533164e-52,0.283435565800289,0.519,0.181,1.69961111639584e-47
"PRTG",9.59370355643166e-52,0.468871547861904,0.822,0.423,3.23250247630408e-47
"RAX",1.00707667991745e-51,0.368118285984808,0.699,0.294,3.39324416531387e-47
"ATP1A2",1.05003760694118e-51,0.319559055618539,0.45,0.155,3.53799671282762e-47
"WASF3",6.74248122590065e-51,0.306850402218034,0.535,0.202,2.27181162425497e-46
"DLK1",2.11601119178997e-49,0.607501123045339,0.998,0.872,7.12968810961712e-45
"SMOC1",6.46752862743929e-48,0.277544751838637,0.454,0.156,2.17916909572939e-43
"LAMP5",5.44376395802808e-47,0.322033211248999,0.608,0.256,1.83422182801798e-42
"PRSS23",2.66203008095746e-46,0.410973358923122,0.931,0.509,8.96944415477806e-42
"TTC3",5.58172845325002e-46,0.353991103047864,0.744,0.348,1.88070758503806e-41
"LEMD1",5.59143217738525e-45,0.294101720094897,0.474,0.174,1.88397715784819e-40
"ATP5E",1.54586230753667e-44,0.404730360528189,0.998,0.964,5.20862845901407e-40
"MZT2B",4.27796376333565e-43,0.366360954654844,0.998,0.961,1.44141711041831e-38
"ATP5G2",4.29086708926908e-43,0.326672221807751,1,0.995,1.44576475705832e-38
"FZD3",1.0450061600603e-42,0.43545713743954,0.851,0.515,3.52104375570716e-38
"NLRP1",1.13508559403699e-42,0.313473336879061,0.606,0.264,3.82455740054822e-38
"MIAT",4.19820330814573e-42,0.407442163761395,0.835,0.475,1.41454262264662e-37
"FABP7",1.00779925650064e-40,0.313999518092025,0.717,0.337,3.39567881485325e-36
"NAV1",1.40749195119346e-40,0.322448600765798,0.63,0.297,4.74240338035124e-36
"HOMER2",1.97355678537157e-40,0.279483776016154,0.421,0.159,6.64970223263098e-36
"CAPN6",1.38303761195686e-39,0.291775564935391,0.483,0.194,4.66000692972746e-35
"FGF8",1.89553320071469e-39,0.285106744253309,0.552,0.237,6.38680956648806e-35
"CRB2",1.58567189874725e-38,0.320500984385933,0.604,0.27,5.34276289563899e-34
"CIRBP",2.87642273604196e-37,0.36276895417021,0.993,0.936,9.69181876681978e-33
"PLEKHA1",5.96812708354439e-37,0.302198626343992,0.606,0.289,2.01090073952945e-32
"TMSB15A",2.23545232082472e-36,0.384443419067319,0.971,0.672,7.53213304978681e-32
"FZD5",7.76048450210644e-36,0.333409236710477,0.744,0.405,2.61481764813974e-31
"ZFAS1",1.00523893630992e-35,0.300479086432019,1,0.987,3.38705207200265e-31
"PTPRZ1",7.95656551811715e-34,0.252873086671083,0.548,0.251,2.68088518567439e-29
"EIF3F",1.19462538210338e-33,0.298003816008336,1,0.988,4.02517076245912e-29
"TPBG",6.74237195084631e-33,0.30727531036211,0.842,0.488,2.27177480511816e-28
