"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COL2A1",1.02916317422773e-207,1.3637482946139,0.849,0.357,3.46766239924292e-203
"RPL6",8.1966751162849e-167,0.492702452470455,1,1,2.76178771368103e-162
"CRABP1",8.67506358998829e-158,1.42585839307636,0.976,0.921,2.92297592601066e-153
"DAPL1",2.36970017642272e-157,1.33274065017656,0.488,0.13,7.98446777443873e-153
"RPL5",1.40268649223605e-152,0.469624372331719,1,1,4.72621186694015e-148
"RPL7",8.82410314526657e-144,0.356531563054252,1,1,2.97319331376612e-139
"MDK",3.11903794291778e-138,0.649338348616669,1,0.998,1.05092864448672e-133
"SFRP2",5.9599299257018e-128,1.33296132658553,0.909,0.745,2.00813878916597e-123
"RPS8",1.89423246652403e-125,0.321306665804263,1,1,6.38242687270606e-121
"RPS3A",4.24377151340627e-118,0.30894830728097,1,1,1.42989637372711e-113
"RPS4X",2.11317956924486e-113,0.286943946885861,1,1,7.12014724061363e-109
"RPS24",2.43420573322583e-112,0.330272611634505,1,1,8.2018127975311e-108
"DLK1",1.27155558268765e-106,0.993789846032654,0.989,0.867,4.28437938030775e-102
"VIM",7.50310366785294e-105,0.801944825605827,0.967,0.707,2.52809574984637e-100
"PRSS23",1.08929799288788e-102,0.887860404510703,0.84,0.502,3.67028065723643e-98
"DCT",3.39311752533233e-102,0.788795187449177,0.402,0.12,1.14327701898547e-97
"RBP1",4.19652835103481e-102,0.975610517101643,0.764,0.508,1.41397826259767e-97
"RPL34",5.20676681825001e-102,0.277213440503752,1,1,1.75436801174116e-97
"RPL3",4.19954470591171e-101,0.277778298905488,1,1,1.41499459320989e-96
"CCL2",1.35761500270796e-100,1.03897322693629,0.452,0.163,4.5743479901242e-96
"ATP5G2",6.2095834765482e-100,0.487534943148354,1,0.995,2.09225705658815e-95
"RP11-96L14.7",2.21556272573814e-90,0.518932015941273,0.264,0.057,7.46511704810209e-86
"METRN",4.5160380468571e-89,0.751802351598144,0.897,0.685,1.52163385950803e-84
"RPL18",1.14077405695741e-88,0.267700236191116,1,1,3.84372410751229e-84
