"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DLK1",8.60993392158484e-204,1.62974449077961,0.994,0.867,2.9010311355388e-199
"IGFBP2",5.81566460279192e-171,1.03648569015948,0.997,0.976,1.95953003126471e-166
"MEST",4.66031158233121e-146,1.03193826069367,0.983,0.925,1.57024538455068e-141
"VIM",9.44692967762151e-142,1.03654330469829,0.968,0.707,3.18304848557779e-137
"MALAT1",2.12954408535401e-138,0.897426741138604,1,1,7.1752858411918e-134
"PRSS23",3.76293510556675e-120,0.981826931982031,0.868,0.499,1.26788335446966e-115
"CIRBP",7.50581788600437e-115,0.76032242410347,0.979,0.935,2.52901027851031e-110
"RPL6",1.75543544465354e-102,0.377120929130707,1,1,5.91476418721564e-98
"ATP5G2",2.06038056525164e-93,0.488310492471308,1,0.995,6.94224627655888e-89
"ZNF436-AS1",6.86088582079869e-91,0.821247142135116,0.688,0.369,2.31170686845991e-86
"RPL5",4.24242491524181e-86,0.341935218294044,1,1,1.42944265094158e-81
"RPL3",1.80953186426639e-83,0.252847083462168,1,1,6.09703666345918e-79
"RPL7",7.64438899874821e-81,0.256798224433172,1,1,2.57570042923822e-76
"CCNI",1.22980704903961e-78,0.575802424753131,0.986,0.952,4.14371187103408e-74
"RPS25",1.63126123013386e-77,0.272646607228531,1,1,5.49637158881302e-73
"EIF1",4.26837344497637e-75,0.439805233670985,0.999,0.993,1.43818574855034e-70
"NACA",5.35096893428275e-73,0.279555523240553,1,1,1.80295547271723e-68
"IGFBP5",5.7192352043091e-73,0.73196586473407,0.744,0.438,1.92703910973991e-68
"ESD",7.54355355673142e-73,0.711515805201846,0.795,0.641,2.54172493540508e-68
"EIF3E",2.8264110649452e-69,0.50163365839606,0.987,0.977,9.52330944222635e-65
"EIF3F",1.75782224149951e-64,0.42763779028081,0.999,0.987,5.92280626050845e-60
"NPM1",3.57999840892508e-63,0.357963456763189,1,1,1.20624466390322e-58
"HNRNPA1",2.90166108888795e-62,0.318979844454555,1,1,9.77685687289907e-58
"PFDN5",5.52136329172139e-61,0.412851451378685,0.991,0.99,1.86036814751261e-56
