"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HAPLN1",0,2.26672509160751,0.916,0.133,0
"DLX5",0,1.12108270004704,0.58,0.059,0
"GATA3",0,0.896130241263444,0.508,0.042,0
"CXCL14",3.15400271177372e-281,1.55984349600812,0.564,0.069,1.06270967370504e-276
"SEMA3E",4.5709341453321e-280,0.699394389474602,0.452,0.037,1.5401305509282e-275
"TFAP2A",2.00190429146177e-258,0.760204161830012,0.578,0.077,6.7452163196513e-254
"S100A11",1.68702021645938e-241,2.08568557043828,0.9,0.324,5.68424591733822e-237
"KRT8",1.9570473095997e-201,2.07520267912221,0.986,0.718,6.59407520496522e-197
"KRT18",3.4254850924133e-199,2.29170958674369,0.984,0.762,1.15418294703774e-194
"ADAM28",3.21010657985822e-193,0.366605650523833,0.257,0.014,1.08161331101743e-188
"CLDN4",1.64822052649841e-192,0.980929827540909,0.767,0.21,5.55351424198376e-188
"STOM",2.49084706742976e-161,1.16785084956039,0.795,0.307,8.39266010899783e-157
"LY6E",1.28499159643142e-158,1.44018012884863,0.944,0.664,4.32965068501603e-154
"FAM89A",2.37124318976963e-153,0.361645477161485,0.299,0.03,7.98966680360979e-149
"KRT19",3.24947832109565e-143,1.6967137250718,0.924,0.545,1.09487922550997e-138
"DSP",1.70959784972082e-130,0.757026012401986,0.641,0.196,5.76031899484932e-126
"RAB25",2.18475220114857e-127,0.741542578706593,0.673,0.224,7.36130406654998e-123
"ANXA2",6.65517511596277e-120,1.05314644819685,0.819,0.375,2.2423947035725e-115
"PERP",4.89529323626909e-119,1.02293207554152,0.886,0.516,1.64942010302851e-114
"CLDN6",4.05104884604569e-115,1.07149866006988,0.976,0.625,1.36496039818663e-110
"PRSS8",8.62332131246687e-112,0.65997379969762,0.637,0.212,2.90554188302259e-107
"MAFB",5.7637204751948e-111,0.550283630701126,0.341,0.06,1.94202797691213e-106
"TMSB10",6.01273060816345e-111,0.780751478638851,1,1,2.02592945111459e-106
"DLX3",3.78675244429647e-101,0.310528087831324,0.273,0.041,1.27590836858125e-96
"TMEM54",3.93704435081796e-98,0.852127333178717,0.691,0.296,1.3265477235646e-93
"CYP1B1",3.93846100303749e-97,0.836942316117053,0.45,0.117,1.32702505036345e-92
"GNAS",2.03476187862858e-95,1.01451449518532,0.988,0.871,6.85592667385114e-91
"TAGLN2",8.01034182270355e-94,0.782751393716521,0.721,0.323,2.69900457374173e-89
"CAST",1.73798943009003e-93,0.790110388918341,0.558,0.193,5.85598158574536e-89
"SAT1",3.40033201722447e-92,1.26178854103386,0.972,0.925,1.14570786988361e-87
"SOX15",3.65481859521768e-92,0.624525988474846,0.592,0.212,1.23145457747264e-87
"SMAGP",2.66362723871903e-91,0.629434123109039,0.592,0.215,8.9748256181399e-87
"CDH1",1.12376971674904e-90,0.677046444153799,0.633,0.244,3.78642968361421e-86
"ANXA3",3.38241679438878e-88,0.550588737905861,0.438,0.121,1.13967151470136e-83
"HPGD",8.72689559600578e-88,0.392199924354002,0.269,0.047,2.94044020211819e-83
"UPK2",2.81153241396258e-86,0.3237639652971,0.299,0.057,9.47317731560551e-82
"STAP2",2.79310339373154e-85,0.531112714971962,0.52,0.174,9.41108257483906e-81
"PDLIM1",3.3173924793388e-85,0.81611630939599,0.867,0.485,1.11776222198841e-80
"TPD52L1",1.27924553573295e-81,0.382101938309113,0.333,0.076,4.31028990809862e-77
"DSC2",1.67847404760433e-81,0.478256471014952,0.444,0.134,5.65545045599803e-77
"PKP2",2.51935113406637e-81,0.392875640926573,0.414,0.114,8.48870171112322e-77
"VAMP8",2.93035005717921e-80,0.632604763725735,0.639,0.266,9.87352148265962e-76
"PCOLCE2",3.63453658539097e-80,0.510572625282831,0.516,0.175,1.22462075708163e-75
"PKDCC",4.14066068200532e-79,1.01936275793916,0.576,0.239,1.39515421019487e-74
"TFAP2C",1.02070597074726e-75,0.506647167087312,0.468,0.154,3.43916669783582e-71
"DBI",1.20206421981297e-73,0.886336840200212,0.926,0.846,4.05023518223781e-69
"PTPRF",1.8149028118267e-71,0.705039984767958,0.783,0.446,6.11513353416887e-67
"IRX2",3.02977820616212e-71,0.619022160513325,0.556,0.221,1.02085346878426e-66
