nGene	nUMI	orig.ident	hash_maxID	hash_secondID	hash_margin	hto_classification	hto_classification_global	hash_ID
3802	13463	SeuratProject	Antibody8	Antibody7	1.68656245745091	Antibody8	Singlet	Antibody8
4024	16989	SeuratProject	Antibody8	Antibody6	2.43540949210509	Antibody8	Singlet	Antibody8
3247	14682	SeuratProject	Antibody6	Antibody8	1.04835302191901	Antibody6	Singlet	Antibody6
4053	22139	SeuratProject	Antibody6	Antibody8	2.22908882206824	Antibody6	Singlet	Antibody6
4209	17363	SeuratProject	Antibody7	Antibody6	0.702143150300789	Antibody7	Singlet	Antibody7
2231	6988	SeuratProject	Antibody6	Antibody8	1.09358343558471	Antibody6	Singlet	Antibody6
2677	11808	SeuratProject	Antibody6	Antibody8	1.59108793373117	Antibody6	Singlet	Antibody6
4536	19050	SeuratProject	Antibody7	Antibody8	2.85749999571354	Antibody7	Singlet	Antibody7
3624	12056	SeuratProject	Antibody6	Antibody8	1.19621865852047	Antibody6	Singlet	Antibody6
4529	21882	SeuratProject	Antibody6	Antibody8	2.06120383533089	Antibody6	Singlet	Antibody6
3760	16068	SeuratProject	Antibody6	Antibody8	2.80295823044459	Antibody6	Singlet	Antibody6
6187	25291	SeuratProject	Antibody6	Antibody8	1.72886801502005	Antibody6	Singlet	Antibody6
3833	15929	SeuratProject	Antibody6	Antibody8	2.09317811238694	Antibody6	Singlet	Antibody6
2694	7889	SeuratProject	Antibody8	Antibody7	1.72842306141316	Antibody8	Singlet	Antibody8
7431	53920	SeuratProject	Antibody8	Antibody7	3.62328735956983	Antibody8	Singlet	Antibody8
4071	14001	SeuratProject	Antibody6	Antibody8	2.15186678618954	Antibody6	Singlet	Antibody6
2436	8228	SeuratProject	Antibody7	Antibody8	2.12689896629739	Antibody7	Singlet	Antibody7
3248	16348	SeuratProject	Antibody8	Antibody7	2.5398985142401	Antibody8	Singlet	Antibody8
5583	29280	SeuratProject	Antibody8	Antibody7	2.17405753967006	Antibody8	Singlet	Antibody8
2242	9932	SeuratProject	Antibody6	Antibody8	1.12474325039697	Antibody6	Singlet	Antibody6
2807	11077	SeuratProject	Antibody6	Antibody7	0.392031571509541	Antibody6	Singlet	Antibody6
4329	14525	SeuratProject	Antibody7	Antibody8	1.78220704612178	Antibody7	Singlet	Antibody7
3742	16775	SeuratProject	Antibody6	Antibody8	1.68074506654408	Antibody6	Singlet	Antibody6
2275	6651	SeuratProject	Antibody6	Antibody8	1.3845940573764	Antibody6	Singlet	Antibody6
5761	34544	SeuratProject	Antibody7	Antibody8	2.76411723310786	Antibody7	Singlet	Antibody7
2626	7903	SeuratProject	Antibody8	Antibody7	1.5026805994103	Antibody8	Singlet	Antibody8
5733	31517	SeuratProject	Antibody7	Antibody8	3.08044244139175	Antibody7	Singlet	Antibody7
2287	7292	SeuratProject	Antibody6	Antibody7	1.65849526060755	Antibody6	Singlet	Antibody6
2901	8780	SeuratProject	Antibody6	Antibody8	1.74381923848097	Antibody6	Singlet	Antibody6
2731	8368	SeuratProject	Antibody8	Antibody6	1.38806520538168	Antibody8	Singlet	Antibody8
2413	7070	SeuratProject	Antibody8	Antibody7	1.11178749378079	Antibody8	Singlet	Antibody8
1936	7085	SeuratProject	Antibody8	Antibody6	2.27838175872746	Antibody8	Singlet	Antibody8
4169	22057	SeuratProject	Antibody7	Antibody8	1.78691894240308	Antibody7	Singlet	Antibody7
6618	38616	SeuratProject	Antibody6	Antibody7	1.13037344059304	Antibody6	Singlet	Antibody6
2501	7559	SeuratProject	Antibody7	Antibody8	0.905812806137879	Antibody7	Singlet	Antibody7
2439	7851	SeuratProject	Antibody7	Antibody8	1.31612141318121	Antibody7	Singlet	Antibody7
2263	7143	SeuratProject	Antibody8	Antibody7	1.00835765089678	Antibody8	Singlet	Antibody8
4007	17246	SeuratProject	Antibody7	Antibody8	2.15257570768174	Antibody7	Singlet	Antibody7
2468	6862	SeuratProject	Antibody6	Antibody8	1.66631752414822	Antibody6	Singlet	Antibody6
2775	10798	SeuratProject	Antibody7	Antibody8	1.35112393295945	Antibody7	Singlet	Antibody7
2846	8528	SeuratProject	Antibody6	Antibody8	0.626607630506332	Antibody6	Singlet	Antibody6
3589	18446	SeuratProject	Antibody7	Antibody8	1.57167709864262	Antibody7	Singlet	Antibody7
3980	19418	SeuratProject	Antibody6	Antibody8	2.13774980965366	Antibody6	Singlet	Antibody6
3613	14593	SeuratProject	Antibody6	Antibody8	1.33228759985661	Antibody6	Singlet	Antibody6
5013	27160	SeuratProject	Antibody7	Antibody8	1.71890245688262	Antibody7	Singlet	Antibody7
4230	18136	SeuratProject	Antibody7	Antibody8	2.54967060497198	Antibody7	Singlet	Antibody7
2923	11279	SeuratProject	Antibody6	Antibody8	1.86161852186537	Antibody6	Singlet	Antibody6
4161	21986	SeuratProject	Antibody7	Antibody6	2.69148032071629	Antibody7	Singlet	Antibody7
5202	31682	SeuratProject	Antibody7	Antibody8	1.59276449671842	Antibody7	Singlet	Antibody7
3277	15364	SeuratProject	Antibody7	Antibody6	0.280529176069632	Antibody7	Singlet	Antibody7
4428	19922	SeuratProject	Antibody8	Antibody6	0.895753793740521	Antibody8	Singlet	Antibody8
4023	13894	SeuratProject	Antibody6	Antibody8	1.46218396588718	Antibody6	Singlet	Antibody6
2699	12072	SeuratProject	Antibody8	Antibody7	1.85355275763587	Antibody8	Singlet	Antibody8
6702	47140	SeuratProject	Antibody7	Antibody8	3.54182990862485	Antibody7	Singlet	Antibody7
4296	16153	SeuratProject	Antibody7	Antibody8	0.916362474256438	Antibody7	Singlet	Antibody7
4437	20113	SeuratProject	Antibody8	Antibody7	1.51674024028397	Antibody8	Singlet	Antibody8
6288	39193	SeuratProject	Antibody6	Antibody8	1.8367226115177	Antibody6	Singlet	Antibody6
3684	11837	SeuratProject	Antibody7	Antibody8	1.04243513775048	Antibody7	Singlet	Antibody7
2399	7207	SeuratProject	Antibody6	Antibody7	1.28443678063227	Antibody6	Singlet	Antibody6
4184	23578	SeuratProject	Antibody7	Antibody8	1.11723675259424	Antibody7	Singlet	Antibody7
4074	15582	SeuratProject	Antibody7	Antibody8	1.75195060882242	Antibody7	Singlet	Antibody7
6882	60108	SeuratProject	Antibody6	Antibody7	2.14649348330038	Antibody6	Singlet	Antibody6
5486	36261	SeuratProject	Antibody6	Antibody8	1.95756021775374	Antibody6	Singlet	Antibody6
2402	6890	SeuratProject	Antibody6	Antibody8	0.777301714794858	Antibody6	Singlet	Antibody6
5476	36906	SeuratProject	Antibody6	Antibody8	2.75634712243178	Antibody6	Singlet	Antibody6
2332	6810	SeuratProject	Antibody8	Antibody7	0.844322997248297	Antibody8	Singlet	Antibody8
3888	16178	SeuratProject	Antibody7	Antibody8	2.23615249240122	Antibody7	Singlet	Antibody7
3408	20194	SeuratProject	Antibody8	Antibody7	1.75508875481546	Antibody8	Singlet	Antibody8
2965	13656	SeuratProject	Antibody7	Antibody8	1.81872813454053	Antibody7	Singlet	Antibody7
3798	16661	SeuratProject	Antibody7	Antibody8	2.33607675032385	Antibody7	Singlet	Antibody7
3851	13684	SeuratProject	Antibody6	Antibody8	1.95021520308332	Antibody6	Singlet	Antibody6
4828	25855	SeuratProject	Antibody6	Antibody8	2.098196135786	Antibody6	Singlet	Antibody6
2490	6835	SeuratProject	Antibody6	Antibody8	1.27318730621165	Antibody6	Singlet	Antibody6
1846	6614	SeuratProject	Antibody8	Antibody6	2.13116649853039	Antibody8	Singlet	Antibody8
2614	6842	SeuratProject	Antibody6	Antibody8	1.1269416229927	Antibody6	Singlet	Antibody6
2804	11188	SeuratProject	Antibody7	Antibody6	1.08358074754663	Antibody7	Singlet	Antibody7
4075	15815	SeuratProject	Antibody7	Antibody8	1.59558521109338	Antibody7	Singlet	Antibody7
3634	13897	SeuratProject	Antibody8	Antibody7	1.26528413966546	Antibody8	Singlet	Antibody8
3748	18770	SeuratProject	Antibody6	Antibody8	1.69078067610145	Antibody6	Singlet	Antibody6
5226	24588	SeuratProject	Antibody6	Antibody8	2.40488746737805	Antibody6	Singlet	Antibody6
3506	12917	SeuratProject	Antibody6	Antibody8	0.83161677754797	Antibody6	Singlet	Antibody6
6912	54580	SeuratProject	Antibody7	Antibody8	2.91360782850314	Antibody7	Singlet	Antibody7
4991	26945	SeuratProject	Antibody7	Antibody8	2.67159197512496	Antibody7	Singlet	Antibody7
1680	6804	SeuratProject	Antibody7	Antibody6	1.8236367113503	Antibody7	Singlet	Antibody7
3336	11933	SeuratProject	Antibody6	Antibody8	1.52288359868312	Antibody6	Singlet	Antibody6
3035	8376	SeuratProject	Antibody8	Antibody7	1.15626459516913	Antibody8	Singlet	Antibody8
7605	84449	SeuratProject	Antibody6	Antibody8	3.74051784413913	Antibody6	Singlet	Antibody6
4661	18838	SeuratProject	Antibody7	Antibody8	1.42712722155698	Antibody7	Singlet	Antibody7
2368	8439	SeuratProject	Antibody7	Antibody8	2.77605170264346	Antibody7	Singlet	Antibody7
3517	15511	SeuratProject	Antibody6	Antibody8	0.546694285432288	Antibody6	Singlet	Antibody6
3205	11589	SeuratProject	Antibody6	Antibody8	0.546990764485432	Antibody6	Singlet	Antibody6
2423	6732	SeuratProject	Antibody6	Antibody7	0.373309844497425	Antibody6	Singlet	Antibody6
5847	30754	SeuratProject	Antibody7	Antibody8	2.05777765276036	Antibody7	Singlet	Antibody7
3866	12447	SeuratProject	Antibody7	Antibody6	1.08809573291225	Antibody7	Singlet	Antibody7
3107	16185	SeuratProject	Antibody6	Antibody7	0.826740510917998	Antibody6	Singlet	Antibody6
3043	14933	SeuratProject	Antibody6	Antibody8	0.946604702320862	Antibody6	Singlet	Antibody6
3421	8403	SeuratProject	Antibody6	Antibody8	2.2174683237837	Antibody6	Singlet	Antibody6
2215	6425	SeuratProject	Antibody6	Antibody8	1.73823222729492	Antibody6	Singlet	Antibody6
5078	29641	SeuratProject	Antibody6	Antibody8	1.61011075261038	Antibody6	Singlet	Antibody6
6045	28069	SeuratProject	Antibody6	Antibody8	1.59506355516023	Antibody6	Singlet	Antibody6
3840	18428	SeuratProject	Antibody6	Antibody8	0.782105278219109	Antibody6	Singlet	Antibody6
3761	15971	SeuratProject	Antibody6	Antibody8	1.91191681811218	Antibody6	Singlet	Antibody6
2263	7530	SeuratProject	Antibody8	Antibody7	1.72489487719682	Antibody8	Singlet	Antibody8
6165	36727	SeuratProject	Antibody7	Antibody8	2.18958413895753	Antibody7	Singlet	Antibody7
4608	25864	SeuratProject	Antibody6	Antibody8	3.51355331512746	Antibody6	Singlet	Antibody6
6113	38606	SeuratProject	Antibody7	Antibody8	2.70291965203548	Antibody7	Singlet	Antibody7
2842	11048	SeuratProject	Antibody6	Antibody8	1.01357831142611	Antibody6	Singlet	Antibody6
2199	7687	SeuratProject	Antibody6	Antibody8	1.09236426446407	Antibody6	Singlet	Antibody6
5490	25359	SeuratProject	Antibody7	Antibody8	1.50333085370514	Antibody7	Singlet	Antibody7
4959	26349	SeuratProject	Antibody6	Antibody8	1.40551341430208	Antibody6	Singlet	Antibody6
3302	14430	SeuratProject	Antibody6	Antibody8	1.67164705854658	Antibody6	Singlet	Antibody6
5993	36298	SeuratProject	Antibody6	Antibody7	2.69339682559062	Antibody6	Singlet	Antibody6
4464	15664	SeuratProject	Antibody6	Antibody7	2.14855243152515	Antibody6	Singlet	Antibody6
3816	16428	SeuratProject	Antibody7	Antibody8	1.5799649218669	Antibody7	Singlet	Antibody7
3337	13788	SeuratProject	Antibody7	Antibody6	1.65952897687064	Antibody7	Singlet	Antibody7
2649	8640	SeuratProject	Antibody6	Antibody8	0.972252236406191	Antibody6	Singlet	Antibody6
4524	23416	SeuratProject	Antibody6	Antibody8	2.28190574327342	Antibody6	Singlet	Antibody6
4535	26316	SeuratProject	Antibody6	Antibody8	0.956278471924893	Antibody6	Singlet	Antibody6
3289	11361	SeuratProject	Antibody6	Antibody8	0.597293712598759	Antibody6	Singlet	Antibody6
