"col"
"LINC01549" "conflicting"
"MIR548XHG" "conflicting"
"NCAM2" "conflicting"
"MIR155HG" "conflicting"
"ADAMTS5" "conflicting"
"MAP3K7CL" "conflicting"
"BACH1.IT2" "conflicting"
"OLIG1" "conflicting"
"LINC00310" "conflicting"
"RUNX1" "conflicting"
"KCNJ15" "conflicting"
"ABCG1" "conflicting"
"FRGCA" "conflicting"
"D21S2088E" "ectoderm"
"ADAMTS5.1" "ectoderm"
"BACH1.IT2.1" "ectoderm"
"KCNJ6" "ectoderm"
"KCNJ15.1" "ectoderm"
"TMPRSS3" "ectoderm"
"FRGCA.1" "ectoderm"
"DNMT3L" "ectoderm"
"TRPM2" "ectoderm"
"RBM11" "endoderm"
"MIR99AHG" "endoderm"
"LINC01549.1" "endoderm"
"CHODL" "endoderm"
"MIR548XHG.1" "endoderm"
"NCAM2.1" "endoderm"
"D21S2088E.1" "endoderm"
"MIR155HG.1" "endoderm"
"ADAMTS1" "endoderm"
"ADAMTS5.2" "endoderm"
"MAP3K7CL.1" "endoderm"
"BACH1.IT2.2" "endoderm"
"KRTAP13.4" "endoderm"
"LINC00159" "endoderm"
"MIS18A.AS1" "endoderm"
"URB1.AS1" "endoderm"
"TCP10L" "endoderm"
"SYNJ1" "endoderm"
"PAXBP1.AS1" "endoderm"
"C21orf62.AS1" "endoderm"
"C21orf62" "endoderm"
"OLIG1.1" "endoderm"
"IL10RB" "endoderm"
"KCNE2" "endoderm"
"KCNE1" "endoderm"
"CLIC6" "endoderm"
"LINC01426" "endoderm"
"CLDN14" "endoderm"
"KCNJ6.1" "endoderm"
"KCNJ15.2" "endoderm"
"ERG" "endoderm"
"B3GALT5" "endoderm"
"IGSF5" "endoderm"
"LINC00323" "endoderm"
"FAM3B" "endoderm"
"MX2" "endoderm"
"MX1" "endoderm"
"PRDM15" "endoderm"
"ABCG1.1" "endoderm"
"TFF3" "endoderm"
"RSPH1" "endoderm"
"ERVH48.1" "endoderm"
"FRGCA.2" "endoderm"
"HSF2BP" "endoderm"
"TRPM2.1" "endoderm"
"TSPEAR" "endoderm"
"TSPEAR.AS1" "endoderm"
"KRTAP12.1" "endoderm"
"LINC01424" "endoderm"
"ITGB2" "endoderm"
"ITGB2.AS1" "endoderm"
"LINC01547" "endoderm"
"PCBP3" "endoderm"
"FTCD" "endoderm"
"S100B" "endoderm"
"LINC01549.2" "mesoderm"
"MIR548XHG.2" "mesoderm"
"NCAM2.2" "mesoderm"
"D21S2088E.2" "mesoderm"
"MIR155HG.2" "mesoderm"
"ADAMTS1.1" "mesoderm"
"ADAMTS5.3" "mesoderm"
"MAP3K7CL.2" "mesoderm"
"BACH1.IT2.3" "mesoderm"
"LINC00159.1" "mesoderm"
"OLIG1.2" "mesoderm"
"KCNE2.1" "mesoderm"
"KCNE1.1" "mesoderm"
"CLDN14.1" "mesoderm"
"KCNJ6.2" "mesoderm"
"KCNJ15.3" "mesoderm"
"LINC00323.1" "mesoderm"
"TFF3.1" "mesoderm"
"FRGCA.3" "mesoderm"
"DNMT3L.1" "mesoderm"
"TRPM2.2" "mesoderm"
"ITGB2.AS1.1" "mesoderm"
"LINC01549.3" "pluripotent"
"MAP3K7CL.3" "pluripotent"
"CLDN14.2" "pluripotent"
"KCNJ15.4" "pluripotent"
"LINC00323.2" "pluripotent"
"ITGB2.1" "pluripotent"
